,id,text,cleaned_text,label_name,label,pred,logits,pred_name
0,18258,What does black Fred Flintstone say? I yabba dabba dindu nuthin,what does black fred flintstone say? i yabba dabba dindu nuthin,Implicit HS,2,2,"[-0.664553701877594, -0.42802608013153076, 0.1904136687517166]",Implicit HS
1,18259,people latch onto that past because it was so inspirational . hitler had,people latch onto that past because it was so inspirational . hitler had,Not HS,0,0,"[1.4394667148590088, -2.8408639430999756, 0.5598190426826477]",Not HS
2,18260,well if this zoe person is a part of then i'm afraid that creates a problem for me . i do no deal with liberals .,well if this zoe person is a part of then i'm afraid that creates a problem for me . i do no deal with liberals .,Implicit HS,2,0,"[1.0332753658294678, -2.155055046081543, 0.5417258143424988]",Not HS
3,18261,sure it is . what test / edition ? you have ten seconds to respond .,sure it is . what test / edition ? you have ten seconds to respond .,Not HS,0,0,"[2.606682538986206, -3.7111525535583496, 0.32634714245796204]",Not HS
4,18262,he brought them here to have his own enemy combatant army to inflict islam on us. round them up. send them back,he brought them here to have his own enemy combatant army to inflict islam on us. round them up. send them back,Implicit HS,2,2,"[-1.0764546394348145, -0.42700719833374023, 0.8642107844352722]",Implicit HS
5,18263,"Not all gay men are sissies, but all sissies are gay.","not all gay men are sissies, but all sissies are gay.",Implicit HS,2,2,"[0.046727124601602554, -1.4230901002883911, 0.6633803248405457]",Implicit HS
6,18264,1 . you are trying to judge the past by modern leftist ideology . whites  like other people  evolved in a often harsh world ...,1 . you are trying to judge the past by modern leftist ideology . whites like other people evolved in a often harsh world ...,Not HS,0,0,"[0.8763664364814758, -2.3891360759735107, 0.7641524076461792]",Not HS
7,18265,: i think white people hate black people because black people do everything better,: i think white people hate black people because black people do everything better,Not HS,0,2,"[0.3699384033679962, -1.6472746133804321, 0.6482630372047424]",Implicit HS
8,18266,this is white heritage . honor it,this is white heritage . honor it,Not HS,0,2,"[0.5216634273529053, -2.062755584716797, 0.737802267074585]",Implicit HS
9,18267," and i don't  "" hate "" "" whites . i am white ! i am a historian who is seeking in inject a useful context into a moment of white nationalism . """," and i don't "" hate "" "" whites . i am white ! i am a historian who is seeking in inject a useful context into a moment of white nationalism . """,Not HS,0,0,"[1.1238468885421753, -2.4773402214050293, 0.6921834349632263]",Not HS
10,18268,cm and other dignitaries light the lamp at the auspicious occasion at iim  nagpur,cm and other dignitaries light the lamp at the auspicious occasion at iim nagpur,Not HS,0,0,"[0.8666601181030273, -2.2553231716156006, 0.5847156047821045]",Not HS
11,18269,they dump negroid invaders in lily white suicidal sweden,they dump negroid invaders in lily white suicidal sweden,Explicit HS,1,2,"[-0.8167219758033752, -0.5164469480514526, 0.729868471622467]",Implicit HS
12,18270,"  "" i am a legal us immigrant ( from egypt ) and i support the raise act "" "" : via #raiseact #immigrationpolicy """," "" i am a legal us immigrant ( from egypt ) and i support the raise act "" "" : via raiseact immigrationpolicy """,Not HS,0,2,"[0.5987923741340637, -2.0421605110168457, 0.8237813115119934]",Implicit HS
13,18271,the end of a myth : most new serial killers in america are not white males | read more :,the end of a myth : most new serial killers in america are not white males | read more : ,Not HS,0,2,"[0.3950954079627991, -1.8053992986679077, 0.7411873936653137]",Implicit HS
14,18272,bascially  your policy is to replace your own people with foreigners because you are self hating leftists,bascially your policy is to replace your own people with foreigners because you are self hating leftists,Implicit HS,2,2,"[0.2651301324367523, -1.7078832387924194, 0.7323882579803467]",Implicit HS
15,18273," i'm against feminism . i don't hate women as such though . i disagree with the ideology and social order and oppose liberalism down the line . how can you  "" secure a future for white children "" "" without half of our race ? """," i'm against feminism . i don't hate women as such though . i disagree with the ideology and social order and oppose liberalism down the line . how can you "" secure a future for white children "" "" without half of our race ? """,Not HS,0,2,"[0.4165273606777191, -1.8865214586257935, 0.8201689720153809]",Implicit HS
16,18274,top ten charts # 7 : by 2050 less than half of america's population will be white,top ten charts 7 : by 2050 less than half of america's population will be white,Not HS,0,2,"[0.7304205894470215, -2.287616729736328, 0.8572035431861877]",Implicit HS
17,18275,they all are satanic demon cult possessed evil people who are very evil & committed to killing us is what their evil book tell them to do,they all are satanic demon cult possessed evil people who are very evil & committed to killing us is what their evil book tell them to do,Explicit HS,1,2,"[-1.250169277191162, 0.11587069928646088, 0.5657033324241638]",Implicit HS
18,18276,those people in the black and white photo were ahead of their time .,those people in the black and white photo were ahead of their time .,Not HS,0,0,"[1.4518760442733765, -2.7074215412139893, 0.47923406958580017]",Not HS
19,18277,i'm white and i'm ready to fight,i'm white and i'm ready to fight,Implicit HS,2,0,"[1.1435538530349731, -2.4571197032928467, 0.5207486152648926]",Not HS
20,18278,hindus abused by calling some one murkh  dusht etc . mc  bc  harem zada are all islamic expressions brought in by slaves .,hindus abused by calling some one murkh dusht etc . mc bc harem zada are all islamic expressions brought in by slaves .,Not HS,0,2,"[-0.4093085527420044, -1.1203193664550781, 0.6825454831123352]",Implicit HS
