,id,text,cleaned_text,label_name,label,pred,logits,pred_name
0,24748,Could some Tell the  #Democrat Idiot Cortez that #Immigration to the U.S is Not a Right The US Does Not have Open Borders ILLEGAL is ILLEGAL  #Trump #MAGA #RedNationRising  #ThursdayThoughts  https://t.co/XlsldSaCHE via @BreitbartNewshttp://bit.ly/2IN1qIN via @BreitbartNews,could some tell the democrat idiot cortez that immigration to the u.s is not a right the us does not have open borders illegal is illegal trump maga rednationrising thursdaythoughts url,Explicit HS,1,0,"[0.9250830411911011, 0.8120198845863342, -2.4006402492523193]",Not HS
1,24749,Gypsies use their children as beggars.,gypsies use their children as beggars.,Explicit HS,1,1,"[-1.2083849906921387, 2.1658623218536377, -0.8842196464538574]",Explicit HS
2,24750,Cruel and stupid! How could a country like #Jordan whose population is more than 70% of #Palestinian origin and host to the largest Palestinian refugee population outside Palestine (2 mil.+) even consider such a dumb request? This administration is shameless! https://t.co/tOoTAl2OCj,cruel and stupid! how could a country like jordan whose population is more than 70% of palestinian origin and host to the largest palestinian refugee population outside palestine (2 mil.+) even consider such a dumb request? this administration is shameless! url,Not HS,0,1,"[0.6645954251289368, 0.7542483806610107, -1.8110302686691284]",Explicit HS
3,24751,I mean whites are offsprings of Homo sapien & Neanderthal hybrids .,i mean whites are offsprings of homo sapien & neanderthal hybrids .,Not HS,0,1,"[-0.05039395019412041, 0.9689856767654419, -1.180095911026001]",Explicit HS
4,24752,A Muslim should not be allowed to vote,a muslim should not be allowed to vote,Explicit HS,1,1,"[-1.4503883123397827, 2.1877408027648926, -0.8042775988578796]",Explicit HS
5,24753,All religion is oppressive.,all religion is oppressive.,Explicit HS,1,1,"[-0.4957607686519623, 1.7013195753097534, -1.6712794303894043]",Explicit HS
6,24754," rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  "" allah "" "" imagine founding a club on these principles """," rt dawa = > barbaric totalitarian political ideology intent on enslaving all human beings for "" allah "" "" imagine founding a club on these principles """,Implicit HS,2,1,"[-0.5727559924125671, 1.3142529726028442, -1.0187194347381592]",Explicit HS
7,24755,get rid of them them demon worshiping invading country destroyers and eastern European fraudsters and fake english students on a one way trip at the welfare office WAKE UP SUCKERS CANADIANS,get rid of them them demon worshiping invading country destroyers and eastern european fraudsters and fake english students on a one way trip at the welfare office wake up suckers canadians,Explicit HS,1,1,"[-0.2363813817501068, 2.140334129333496, -2.051926612854004]",Explicit HS
8,24756,9/12 was just as important as was 9/11#IllegalAliens#OldMenWithPens#KAG#VoteRed2018#RedWaveRising2018#WalkAway#TheStormIsHere #TheGreatAwakening#Q#QArmy#QAnon#WeThePeople#AmericaFirst#DonaldTrump#DrainTheDeepState#DrainTheSwamp,9/12 was just as important as was 9/11illegalaliens#oldmenwithpens#kag#votered2018#redwaverising2018#walkaway#thestormishere thegreatawakening#q#qarmy#qanon#wethepeople#americafirst#donaldtrump#drainthedeepstate#draintheswamp,Not HS,0,0,"[1.0060762166976929, 0.7248673439025879, -2.5558605194091797]",Not HS
9,24757,I hate Jews they want to rule the world.,i hate jews they want to rule the world.,Explicit HS,1,1,"[-1.5408170223236084, 2.395610809326172, -0.9610109925270081]",Explicit HS
