,id,text,cleaned_text,label_name,label,pred,logits,pred_name
0,24748,Could some Tell the  #Democrat Idiot Cortez that #Immigration to the U.S is Not a Right The US Does Not have Open Borders ILLEGAL is ILLEGAL  #Trump #MAGA #RedNationRising  #ThursdayThoughts  https://t.co/XlsldSaCHE via @BreitbartNewshttp://bit.ly/2IN1qIN via @BreitbartNews,could some tell the democrat idiot cortez that immigration to the u.s is not a right the us does not have open borders illegal is illegal trump maga rednationrising thursdaythoughts url,Explicit HS,1,0,"[1.782021403312683, 0.2996269464492798, -1.3694027662277222]",Not HS
1,24749,Gypsies use their children as beggars.,gypsies use their children as beggars.,Explicit HS,1,1,"[-0.9808593988418579, 2.6070940494537354, -1.1024106740951538]",Explicit HS
2,24750,Cruel and stupid! How could a country like #Jordan whose population is more than 70% of #Palestinian origin and host to the largest Palestinian refugee population outside Palestine (2 mil.+) even consider such a dumb request? This administration is shameless! https://t.co/tOoTAl2OCj,cruel and stupid! how could a country like jordan whose population is more than 70% of palestinian origin and host to the largest palestinian refugee population outside palestine (2 mil.+) even consider such a dumb request? this administration is shameless! url,Not HS,0,0,"[1.0630589723587036, 0.9410461187362671, -1.2989393472671509]",Not HS
3,24751,I mean whites are offsprings of Homo sapien & Neanderthal hybrids .,i mean whites are offsprings of homo sapien & neanderthal hybrids .,Not HS,0,0,"[0.7640034556388855, 0.6009020805358887, -0.6716227531433105]",Not HS
4,24752,A Muslim should not be allowed to vote,a muslim should not be allowed to vote,Explicit HS,1,1,"[-1.2544529438018799, 2.4113898277282715, -0.18054963648319244]",Explicit HS
5,24753,All religion is oppressive.,all religion is oppressive.,Explicit HS,1,1,"[-0.7312312722206116, 2.2795908451080322, -0.6144140958786011]",Explicit HS
6,24754," rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  "" allah "" "" imagine founding a club on these principles """," rt dawa = > barbaric totalitarian political ideology intent on enslaving all human beings for "" allah "" "" imagine founding a club on these principles """,Implicit HS,2,1,"[-0.3646008372306824, 1.9602322578430176, -0.9845173954963684]",Explicit HS
7,24755,get rid of them them demon worshiping invading country destroyers and eastern European fraudsters and fake english students on a one way trip at the welfare office WAKE UP SUCKERS CANADIANS,get rid of them them demon worshiping invading country destroyers and eastern european fraudsters and fake english students on a one way trip at the welfare office wake up suckers canadians,Explicit HS,1,1,"[-0.8104561567306519, 2.2281277179718018, -0.7765252590179443]",Explicit HS
8,24756,9/12 was just as important as was 9/11#IllegalAliens#OldMenWithPens#KAG#VoteRed2018#RedWaveRising2018#WalkAway#TheStormIsHere #TheGreatAwakening#Q#QArmy#QAnon#WeThePeople#AmericaFirst#DonaldTrump#DrainTheDeepState#DrainTheSwamp,9/12 was just as important as was 9/11illegalaliens#oldmenwithpens#kag#votered2018#redwaverising2018#walkaway#thestormishere thegreatawakening#q#qarmy#qanon#wethepeople#americafirst#donaldtrump#drainthedeepstate#draintheswamp,Not HS,0,0,"[1.7394239902496338, 0.7826401591300964, -1.918727993965149]",Not HS
9,24757,I hate Jews they want to rule the world.,i hate jews they want to rule the world.,Explicit HS,1,1,"[-1.5149279832839966, 2.556563138961792, -0.3164748549461365]",Explicit HS
10,24758,"Of course seeing as you're one of them, you'd deny everything blindly in order to help your kind.","of course seeing as you're one of them, you'd deny everything blindly in order to help your kind.",Implicit HS,2,0,"[2.14424991607666, -0.3251391649246216, -0.9386206865310669]",Not HS
11,24759,"I'm sick and tired of whining females. Being oppressed is just an individual problem, they will eventually get over it.","i'm sick and tired of whining females. being oppressed is just an individual problem, they will eventually get over it.",Explicit HS,1,1,"[0.004173824563622475, 1.485211968421936, -0.9652385711669922]",Explicit HS
