,id,text,cleaned_text,label_name,label,pred,logits,pred_name
0,18258,What does black Fred Flintstone say? I yabba dabba dindu nuthin,what does black fred flintstone say? i yabba dabba dindu nuthin,Implicit HS,2,0,"[1.4794763326644897, -1.4973896741867065, 0.687921404838562]",Not HS
1,18259,people latch onto that past because it was so inspirational . hitler had,people latch onto that past because it was so inspirational . hitler had,Not HS,0,0,"[1.1975873708724976, -1.296333909034729, 0.7089211344718933]",Not HS
2,18260,well if this zoe person is a part of then i'm afraid that creates a problem for me . i do no deal with liberals .,well if this zoe person is a part of then i'm afraid that creates a problem for me . i do no deal with liberals .,Implicit HS,2,0,"[1.353897213935852, -1.4009532928466797, 0.6639508008956909]",Not HS
3,18261,sure it is . what test / edition ? you have ten seconds to respond .,sure it is . what test / edition ? you have ten seconds to respond .,Not HS,0,0,"[1.398055911064148, -1.403184413909912, 0.607751727104187]",Not HS
4,18262,he brought them here to have his own enemy combatant army to inflict islam on us. round them up. send them back,he brought them here to have his own enemy combatant army to inflict islam on us. round them up. send them back,Implicit HS,2,0,"[1.3690308332443237, -1.3737727403640747, 0.6460580825805664]",Not HS
5,18263,"Not all gay men are sissies, but all sissies are gay.","not all gay men are sissies, but all sissies are gay.",Implicit HS,2,0,"[1.355783462524414, -1.3953460454940796, 0.6338769197463989]",Not HS
6,18264,1 . you are trying to judge the past by modern leftist ideology . whites  like other people  evolved in a often harsh world ...,1 . you are trying to judge the past by modern leftist ideology . whites like other people evolved in a often harsh world ...,Not HS,0,0,"[1.202162742614746, -1.2490570545196533, 0.5613231658935547]",Not HS
7,18265,: i think white people hate black people because black people do everything better,: i think white people hate black people because black people do everything better,Not HS,0,0,"[1.4618291854858398, -1.4826819896697998, 0.7045387625694275]",Not HS
8,18266,this is white heritage . honor it,this is white heritage . honor it,Not HS,0,0,"[1.4729366302490234, -1.3986765146255493, 0.7322447299957275]",Not HS
9,18267," and i don't  "" hate "" "" whites . i am white ! i am a historian who is seeking in inject a useful context into a moment of white nationalism . """," and i don't "" hate "" "" whites . i am white ! i am a historian who is seeking in inject a useful context into a moment of white nationalism . """,Not HS,0,0,"[1.2200747728347778, -1.3467999696731567, 0.6105917692184448]",Not HS
10,18268,cm and other dignitaries light the lamp at the auspicious occasion at iim  nagpur,cm and other dignitaries light the lamp at the auspicious occasion at iim nagpur,Not HS,0,0,"[1.4481102228164673, -1.4292937517166138, 0.6586140990257263]",Not HS
11,18269,they dump negroid invaders in lily white suicidal sweden,they dump negroid invaders in lily white suicidal sweden,Explicit HS,1,0,"[1.5394871234893799, -1.461042881011963, 0.6572657227516174]",Not HS
12,18270,"  "" i am a legal us immigrant ( from egypt ) and i support the raise act "" "" : via #raiseact #immigrationpolicy """," "" i am a legal us immigrant ( from egypt ) and i support the raise act "" "" : via raiseact immigrationpolicy """,Not HS,0,0,"[1.4463990926742554, -1.4899500608444214, 0.7051222920417786]",Not HS
13,18271,the end of a myth : most new serial killers in america are not white males | read more :,the end of a myth : most new serial killers in america are not white males | read more : ,Not HS,0,0,"[1.4807718992233276, -1.439407229423523, 0.6615180969238281]",Not HS
14,18272,bascially  your policy is to replace your own people with foreigners because you are self hating leftists,bascially your policy is to replace your own people with foreigners because you are self hating leftists,Implicit HS,2,0,"[1.221373200416565, -1.3153064250946045, 0.6976099014282227]",Not HS
