,id,text,cleaned_text,label_name,label,pred,logits,pred_name
0,18258,What does black Fred Flintstone say? I yabba dabba dindu nuthin,what does black fred flintstone say? i yabba dabba dindu nuthin,Implicit HS,2,2,"[0.39675912261009216, -1.3043996095657349, 0.8598976731300354]",Implicit HS
1,18259,people latch onto that past because it was so inspirational . hitler had,people latch onto that past because it was so inspirational . hitler had,Not HS,0,2,"[0.888630211353302, -1.8001468181610107, 0.9118332266807556]",Implicit HS
2,18260,well if this zoe person is a part of then i'm afraid that creates a problem for me . i do no deal with liberals .,well if this zoe person is a part of then i'm afraid that creates a problem for me . i do no deal with liberals .,Implicit HS,2,0,"[1.7494336366653442, -2.5597167015075684, 0.8903350234031677]",Not HS
3,18261,sure it is . what test / edition ? you have ten seconds to respond .,sure it is . what test / edition ? you have ten seconds to respond .,Not HS,0,0,"[1.9510211944580078, -2.9898595809936523, 0.9084108471870422]",Not HS
4,18262,he brought them here to have his own enemy combatant army to inflict islam on us. round them up. send them back,he brought them here to have his own enemy combatant army to inflict islam on us. round them up. send them back,Implicit HS,2,2,"[-0.5295819044113159, -0.29728996753692627, 1.0677129030227661]",Implicit HS
5,18263,"Not all gay men are sissies, but all sissies are gay.","not all gay men are sissies, but all sissies are gay.",Implicit HS,2,2,"[-0.4313299059867859, -0.26968905329704285, 0.9761833548545837]",Implicit HS
6,18264,1 . you are trying to judge the past by modern leftist ideology . whites  like other people  evolved in a often harsh world ...,1 . you are trying to judge the past by modern leftist ideology . whites like other people evolved in a often harsh world ...,Not HS,0,0,"[1.1021838188171387, -1.8394688367843628, 0.9305960536003113]",Not HS
7,18265,: i think white people hate black people because black people do everything better,: i think white people hate black people because black people do everything better,Not HS,0,2,"[0.11251113563776016, -0.6637024879455566, 0.8404070734977722]",Implicit HS
8,18266,this is white heritage . honor it,this is white heritage . honor it,Not HS,0,2,"[0.8497102856636047, -1.48562753200531, 0.9762498736381531]",Implicit HS
9,18267," and i don't  "" hate "" "" whites . i am white ! i am a historian who is seeking in inject a useful context into a moment of white nationalism . """," and i don't "" hate "" "" whites . i am white ! i am a historian who is seeking in inject a useful context into a moment of white nationalism . """,Not HS,0,0,"[1.3430933952331543, -2.2658817768096924, 0.944866418838501]",Not HS
10,18268,cm and other dignitaries light the lamp at the auspicious occasion at iim  nagpur,cm and other dignitaries light the lamp at the auspicious occasion at iim nagpur,Not HS,0,0,"[1.7580642700195312, -2.5881526470184326, 0.6664820313453674]",Not HS
11,18269,they dump negroid invaders in lily white suicidal sweden,they dump negroid invaders in lily white suicidal sweden,Explicit HS,1,2,"[-0.4506135880947113, -0.12167385220527649, 0.8423040509223938]",Implicit HS
12,18270,"  "" i am a legal us immigrant ( from egypt ) and i support the raise act "" "" : via #raiseact #immigrationpolicy """," "" i am a legal us immigrant ( from egypt ) and i support the raise act "" "" : via raiseact immigrationpolicy """,Not HS,0,0,"[1.807681679725647, -2.759880542755127, 0.9060153961181641]",Not HS
13,18271,the end of a myth : most new serial killers in america are not white males | read more :,the end of a myth : most new serial killers in america are not white males | read more : ,Not HS,0,2,"[0.810501217842102, -1.7508395910263062, 1.16720449924469]",Implicit HS
14,18272,bascially  your policy is to replace your own people with foreigners because you are self hating leftists,bascially your policy is to replace your own people with foreigners because you are self hating leftists,Implicit HS,2,2,"[0.4353124499320984, -1.3071117401123047, 1.001649260520935]",Implicit HS
