,id,text,cleaned_text,label_name,label,pred,logits,pred_name
0,24748,Could some Tell the  #Democrat Idiot Cortez that #Immigration to the U.S is Not a Right The US Does Not have Open Borders ILLEGAL is ILLEGAL  #Trump #MAGA #RedNationRising  #ThursdayThoughts  https://t.co/XlsldSaCHE via @BreitbartNewshttp://bit.ly/2IN1qIN via @BreitbartNews,could some tell the democrat idiot cortez that immigration to the u.s is not a right the us does not have open borders illegal is illegal trump maga rednationrising thursdaythoughts url,Explicit HS,1,1,"[1.560842752456665, 1.5940959453582764, -2.089395523071289]",Explicit HS
1,24749,Gypsies use their children as beggars.,gypsies use their children as beggars.,Explicit HS,1,1,"[-0.4002246856689453, 2.9115097522735596, -1.4183223247528076]",Explicit HS
2,24750,Cruel and stupid! How could a country like #Jordan whose population is more than 70% of #Palestinian origin and host to the largest Palestinian refugee population outside Palestine (2 mil.+) even consider such a dumb request? This administration is shameless! https://t.co/tOoTAl2OCj,cruel and stupid! how could a country like jordan whose population is more than 70% of palestinian origin and host to the largest palestinian refugee population outside palestine (2 mil.+) even consider such a dumb request? this administration is shameless! url,Not HS,0,1,"[0.5412442088127136, 1.7497103214263916, -1.5848604440689087]",Explicit HS
3,24751,I mean whites are offsprings of Homo sapien & Neanderthal hybrids .,i mean whites are offsprings of homo sapien & neanderthal hybrids .,Not HS,0,1,"[0.2957378923892975, 1.343302607536316, -0.5630005598068237]",Explicit HS
4,24752,A Muslim should not be allowed to vote,a muslim should not be allowed to vote,Explicit HS,1,1,"[-1.238059163093567, 2.6628267765045166, -0.3864106237888336]",Explicit HS
5,24753,All religion is oppressive.,all religion is oppressive.,Explicit HS,1,1,"[-0.9649043083190918, 2.7771339416503906, -0.6306566596031189]",Explicit HS
6,24754," rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  "" allah "" "" imagine founding a club on these principles """," rt dawa = > barbaric totalitarian political ideology intent on enslaving all human beings for "" allah "" "" imagine founding a club on these principles """,Implicit HS,2,1,"[-0.1533466875553131, 1.7787413597106934, -0.5559241771697998]",Explicit HS
7,24755,get rid of them them demon worshiping invading country destroyers and eastern European fraudsters and fake english students on a one way trip at the welfare office WAKE UP SUCKERS CANADIANS,get rid of them them demon worshiping invading country destroyers and eastern european fraudsters and fake english students on a one way trip at the welfare office wake up suckers canadians,Explicit HS,1,1,"[-0.22427910566329956, 2.9887373447418213, -1.4434576034545898]",Explicit HS
8,24756,9/12 was just as important as was 9/11#IllegalAliens#OldMenWithPens#KAG#VoteRed2018#RedWaveRising2018#WalkAway#TheStormIsHere #TheGreatAwakening#Q#QArmy#QAnon#WeThePeople#AmericaFirst#DonaldTrump#DrainTheDeepState#DrainTheSwamp,9/12 was just as important as was 9/11illegalaliens#oldmenwithpens#kag#votered2018#redwaverising2018#walkaway#thestormishere thegreatawakening#q#qarmy#qanon#wethepeople#americafirst#donaldtrump#drainthedeepstate#draintheswamp,Not HS,0,1,"[1.8379913568496704, 2.08872127532959, -2.84291672706604]",Explicit HS
9,24757,I hate Jews they want to rule the world.,i hate jews they want to rule the world.,Explicit HS,1,1,"[-1.0985360145568848, 3.1396024227142334, -0.9296315312385559]",Explicit HS
