id,text,cleaned_text,label_name,label
0,stephanie is a racist female :,stephanie is a racist female :,Explicit HS,1
1,just remember this : me ( biracial ): wow he beat everyone in class ? weird.black : he must of cheated.white : it's expected  he's white .,just remember this : me ( biracial ): wow he beat everyone in class ? weird.black : he must of cheated.white : it's expected he's white .,Implicit HS,2
2,new york isn't white it's jewish,new york isn't white it's jewish,Implicit HS,2
3,what do you call a muslim feminist ? dead .,what do you call a muslim feminist ? dead .,Implicit HS,2
4,I wish my grass was emo... So it could cut itself.,i wish my grass was emo... so it could cut itself.,Implicit HS,2
5,that people are different  that is the point,that people are different that is the point,Not HS,0
6,keep texas strong and safe,keep texas strong and safe,Not HS,0
7,don't make the white kids angry . #unitetheright #charlottesville,don't make the white kids angry . unitetheright charlottesville,Not HS,0
8,read the jim webb op-ed and contrast it with what the #trucons have written about andrew jackson :,read the jim webb op-ed and contrast it with what the trucons have written about andrew jackson :,Not HS,0
9," no  it isn't possible  because he came only for the  "" lost sheep of the house of israel "" ""  the white race . #tcot """," no it isn't possible because he came only for the "" lost sheep of the house of israel "" "" the white race . tcot """,Not HS,0
10,trump speaks to union league  will he speak to the league of the south ?,trump speaks to union league will he speak to the league of the south ?,Not HS,0
11,likewise . karma bites antifa .,likewise . karma bites antifa .,Not HS,0
12,4 / years ago  we started building up a real world network here in the south . it's great knowing so many people who share my politics,4 / years ago we started building up a real world network here in the south . it's great knowing so many people who share my politics,Not HS,0
13,#border patrol ordered to release illegals still soaking wet from rio grande via #immigration,border patrol ordered to release illegals still soaking wet from rio grande via immigration,Implicit HS,2
14,credibility of white race will be lost if they resort 2 lies & cheating on taliban & isis,credibility of white race will be lost if they resort 2 lies & cheating on taliban & isis,Implicit HS,2
15,: linking the cops to the rally is lame . paul ryan supports globalization and white genocide becaus,: linking the cops to the rally is lame . paul ryan supports globalization and white genocide becaus,Not HS,0
16,block them? how about deport them?,block them? how about deport them?,Implicit HS,2
17,universities take foreign students ahead of british | news | the times & the sunday times,universities take foreign students ahead of british | news | the times & the sunday times,Not HS,0
18,how many are white men with asian women .,how many are white men with asian women .,Not HS,0
19,where were the protests in milwaukee when five blacks were killed just prior to the young man who the cops killed ?,where were the protests in milwaukee when five blacks were killed just prior to the young man who the cops killed ?,Implicit HS,2
20," rt  "" a number of reforms i propose tonight will be opposed by some of our nation's most powerful interests . "" "" #rncincle """," rt "" a number of reforms i propose tonight will be opposed by some of our nation's most powerful interests . "" "" rncincle """,Not HS,0
21,white race is most beautiful creation of #god . it must be preserved . save hindus also .,white race is most beautiful creation of god . it must be preserved . save hindus also .,Implicit HS,2
22,: when will you stand up for yourselves white america thugs attack whites #bamo #teaparty #tcot #ucot #ocra ...,: when will you stand up for yourselves white america thugs attack whites bamo teaparty tcot ucot ocra ...,Implicit HS,2
23,what happens when a black officer searches a white person  is that racist as well .,what happens when a black officer searches a white person is that racist as well .,Not HS,0
24,that still isn't a good enough reason for normal  working class whites not to advocate for themselves . whites will be a minority soon .,that still isn't a good enough reason for normal working class whites not to advocate for themselves . whites will be a minority soon .,Not HS,0
25,the scandinavians are clearly the same as the spanish because of white peoples,the scandinavians are clearly the same as the spanish because of white peoples,Implicit HS,2
26,no one loves the kkk,no one loves the kkk,Not HS,0
27,the racial murder and rape of white women in america | read more : via #wr #wpww #14w,the racial murder and rape of white women in america | read more : via wr wpww 14w,Implicit HS,2
28," okay  maybe it can explain every single  "" gap "" "" blamed on whites & racism . but still ... """," okay maybe it can explain every single "" gap "" "" blamed on whites & racism . but still ... """,Not HS,0
29,the nazis were racial supremacists  but not white supremacists . they despised white poles  russians & jews .,the nazis were racial supremacists but not white supremacists . they despised white poles russians & jews .,Not HS,0
30,an impending release makes everyone a patriot . makes you forget about the intolerance of india and that you wife wanted to emigrate .,an impending release makes everyone a patriot . makes you forget about the intolerance of india and that you wife wanted to emigrate .,Not HS,0
31,the surjewala internship has taught alka lamba great sense . 4delhi bjp ?,the surjewala internship has taught alka lamba great sense . 4delhi bjp ?,Not HS,0
32," rt splc's mark potok : donald trump is a  "" racist  "" "" has "" "" white nationalist positions "" "" via #splc #trump2016 """," rt splc's mark potok : donald trump is a "" racist "" "" has "" "" white nationalist positions "" "" via splc trump2016 """,Not HS,0
33," it's a hollow simulacrum of  "" white advocacy "" "" if jews are accepted as white """," it's a hollow simulacrum of "" white advocacy "" "" if jews are accepted as white """,Implicit HS,2
34,didn't obama meet with british mb leaders when netanyahu was in town to speak to congress ?,didn't obama meet with british mb leaders when netanyahu was in town to speak to congress ?,Not HS,0
35,big difference between southern and midwestern evangelicals is racial consciousness,big difference between southern and midwestern evangelicals is racial consciousness,Implicit HS,2
36,unless white america will step up & have more kids our total economy will tank trying to pay ss for baby boomer retirees w / o daca,unless white america will step up & have more kids our total economy will tank trying to pay ss for baby boomer retirees w / o daca,Implicit HS,2
37,yeah  but how many people just give up and leave without saying anything ? how many more turned off from right-wing politics because of them ?,yeah but how many people just give up and leave without saying anything ? how many more turned off from right-wing politics because of them ?,Not HS,0
38,sorry .. i cant help you and you wont sway me .. this white,sorry .. i cant help you and you wont sway me .. this white,Not HS,0
39,you're advocating that those same white people had every reason to kill  torture  and own people and no,you're advocating that those same white people had every reason to kill torture and own people and no,Not HS,0
40," these guys are racists ? are you sure you're not mistaking them with some other group ? what have they done that makes you believe they are  "" racist "" "" . """," these guys are racists ? are you sure you're not mistaking them with some other group ? what have they done that makes you believe they are "" racist "" "" . """,Not HS,0
41," caller  "" whites will never get anywhere without jew leaders "" "" - nobody disagreed . at 45 minutes """," caller "" whites will never get anywhere without jew leaders "" "" - nobody disagreed . at 45 minutes """,Implicit HS,2
42,how did the jewish kid cheat on his math test ? he used the numbers on his arm .,how did the jewish kid cheat on his math test ? he used the numbers on his arm .,Implicit HS,2
43,well its simple . anti racist is code 4 anti white,well its simple . anti racist is code 4 anti white,Not HS,0
44,afp podcast & article : the day of the white man via,afp podcast & article : the day of the white man via,Not HS,0
45,whites are safe from black violence when segregation is the rule of law . si,whites are safe from black violence when segregation is the rule of law . si,Implicit HS,2
46,how is appreciating your heritage white privilege ? we're the only ones not allowed to do it .,how is appreciating your heritage white privilege ? we're the only ones not allowed to do it .,Not HS,0
47,the alt right died weeks ago ! this is late to the table,the alt right died weeks ago ! this is late to the table,Not HS,0
48,release of dreaded pro-pak terrorist masrat alam shows bjp is no more than b-team of cm mufti like cong was b-team of nc cm omar abdullah .,release of dreaded pro-pak terrorist masrat alam shows bjp is no more than b-team of cm mufti like cong was b-team of nc cm omar abdullah .,Not HS,0
49,so their goal is prove to us evil white people that have power ?,so their goal is prove to us evil white people that have power ?,Not HS,0
50,id more likely to believe her claim if it happened say during his first election run,id more likely to believe her claim if it happened say during his first election run,Not HS,0
51,17yrs old . happy international women's day .,17yrs old . happy international women's day .,Not HS,0
52,notice they're a white couple . #antiwhite #chasingdownwhites #whitegenocide,notice they're a white couple . antiwhite chasingdownwhites whitegenocide,Implicit HS,2
53,How to know if you're good at sports Your not good if your not black,how to know if you're good at sports your not good if your not black,Implicit HS,2
54,we hate white children says anti-trump campaign,we hate white children says anti-trump campaign,Not HS,0
55,there are plenty resources on the internet that aren't supposed white identitarian weightlifting groups .. yet here we find ourselves,there are plenty resources on the internet that aren't supposed white identitarian weightlifting groups .. yet here we find ourselves,Not HS,0
56,the #proudboys are all about inclusion  unless you're white and proud - then they're all about exclusion .,the proudboys are all about inclusion unless you're white and proud - then they're all about exclusion .,Not HS,0
57,jackin it to the statue of david to uhhh save the white race,jackin it to the statue of david to uhhh save the white race,Implicit HS,2
58,why are you silent ? pl . intervene,why are you silent ? pl . intervene,Not HS,0
59,another boston based blowhard attacking virginians  southerners  & white people like barstool sports did to,another boston based blowhard attacking virginians southerners & white people like barstool sports did to,Not HS,0
60," watch the  "" greatest story never told "" "" and retweet and dispells the lies that contributes to white hate ! """," watch the "" greatest story never told "" "" and retweet and dispells the lies that contributes to white hate ! """,Implicit HS,2
61,same thing . using nonwhites as political weapons against southern whites . they do it now  in 2017 .,same thing . using nonwhites as political weapons against southern whites . they do it now in 2017 .,Not HS,0
62,"you cannot comprehend how stupid humans can be believing demented islam,all religions are garbage but islam takes the biscuit","you cannot comprehend how stupid humans can be believing demented islam,all religions are garbage but islam takes the biscuit",Explicit HS,1
63,ma'am you are very intelligent hopefully you should know there's a difference between someone suspecting you are a white supremacist based on people you are tweeting versus actually accusing you of being a white supremacist those are two totally different things,ma'am you are very intelligent hopefully you should know there's a difference between someone suspecting you are a white supremacist based on people you are tweeting versus actually accusing you of being a white supremacist those are two totally different things,Not HS,0
64,not even a ticket. let them leave the same way they came.,not even a ticket. let them leave the same way they came.,Implicit HS,2
65,how did less than 3 % of pop acquire so much clout ? oops  forgot it is anti-semitic of me to ask that question .,how did less than 3 % of pop acquire so much clout ? oops forgot it is anti-semitic of me to ask that question .,Implicit HS,2
66,kejriwal actually wants to join bjp  it seems ; he only wants a good deal ! !,kejriwal actually wants to join bjp it seems ; he only wants a good deal ! !,Not HS,0
67," aj is a way racist and bet on violence  he's openly said he doesn't know how he  "" can't not be enemies of white people "" "" """," aj is a way racist and bet on violence he's openly said he doesn't know how he "" can't not be enemies of white people "" "" """,Not HS,0
68,- not a chance ! - this is #america ! sharia opposition unifies america via,- not a chance ! - this is america ! sharia opposition unifies america via,Implicit HS,2
69,ignore him . he's into little white boys & his heart is broken that shaun isn't white . serious weirdo . wants dna .,ignore him . he's into little white boys & his heart is broken that shaun isn't white . serious weirdo . wants dna .,Not HS,0
70," assaults white student and blames  "" white violence . "" "" #blm #whitegenocide #blacklivesmatter """," assaults white student and blames "" white violence . "" "" blm whitegenocide blacklivesmatter """,Implicit HS,2
71,jewish student organization seeking legal action against student leaders who participated in chat mocking holocaust,jewish student organization seeking legal action against student leaders who participated in chat mocking holocaust,Not HS,0
72,don't worry  we will . race mixing is anathema . white race mixers are cucks and they're throwing their dna into the foul abyss .,don't worry we will . race mixing is anathema . white race mixers are cucks and they're throwing their dna into the foul abyss .,Explicit HS,1
73,this is common sense on the alt-right . just look at detroit,this is common sense on the alt-right . just look at detroit,Not HS,0
74,this is why people have to come all the way from south china to teach africans how to mine in their own countries,this is why people have to come all the way from south china to teach africans how to mine in their own countries,Implicit HS,2
75,i guess southerners mock tax cuts like wallace is doing too huh .,i guess southerners mock tax cuts like wallace is doing too huh .,Not HS,0
76,weimerica . ok ! i will die in a few years  protected . message as a pro white,weimerica . ok ! i will die in a few years protected . message as a pro white,Implicit HS,2
77," rt #hsbc whistleblower tells #c4news ' much more data to come  "" carroll foundation trust case """," rt hsbc whistleblower tells c4news ' much more data to come "" carroll foundation trust case """,Not HS,0
78,live thread : the brexit vote : britain votes on independence from the european union,live thread : the brexit vote : britain votes on independence from the european union,Not HS,0
79,do immigrants ever ask why  for whom  they happen to live in the west ? #nrx,do immigrants ever ask why for whom they happen to live in the west ? nrx,Implicit HS,2
80,lol maga is dead . civic nationalism is dead because it cannot produce results . everything is about demographics now .,lol maga is dead . civic nationalism is dead because it cannot produce results . everything is about demographics now .,Not HS,0
81,ludicrous considering i am white .,ludicrous considering i am white .,Not HS,0
82,"buh bye deplorable, no time for rancids.","buh bye deplorable, no time for rancids.",Implicit HS,2
83,european jews are at least as white as italians & spaniards . have less genetic similarity to palestinians than greeks do .,european jews are at least as white as italians & spaniards . have less genetic similarity to palestinians than greeks do .,Not HS,0
84,What do brick sidewalks and fat women have in common They both get laid by mexicans,what do brick sidewalks and fat women have in common they both get laid by mexicans,Implicit HS,2
85," still preaching  "" let us in so we can kill you  or we will attack and kill you "" "" . like a broken record . lol """," still preaching "" let us in so we can kill you or we will attack and kill you "" "" . like a broken record . lol """,Not HS,0
86,good they are playing the kid card in this dangerous game . these are cold killers . vile sand-niggers .,good they are playing the kid card in this dangerous game . these are cold killers . vile sand-niggers .,Explicit HS,1
87,a math problem - the 5 million non jews : i'm realizing that i don't have and never did have a clue about the 5 ...,a math problem - the 5 million non jews : i'm realizing that i don't have and never did have a clue about the 5 ...,Not HS,0
88," always place the race card first .  "" those racist muslims are ... "" "" or "" "" those racist supporters of islam ... "" "" """," always place the race card first . "" those racist muslims are ... "" "" or "" "" those racist supporters of islam ... "" "" """,Implicit HS,2
89,shut it down! surrender is not an option!,shut it down! surrender is not an option!,Implicit HS,2
90,black student unions unmolested  but white ones banned all over . is there a conspiracy to suppress white identity ?,black student unions unmolested but white ones banned all over . is there a conspiracy to suppress white identity ?,Implicit HS,2
